occupation,mapped_major
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",Precision production
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",Precision production
Fabric and apparel patternmakers,Family and consumer sciences
Upholsterers,Construction trades
"Textile, apparel, and furnishings workers, all other",Family and consumer sciences
Furniture finishers,Precision production
"Model makers, wood",Precision production
"Patternmakers, wood",Precision production
"Sawing machine setters, operators, and tenders, wood",Precision production
"Woodworking machine setters, operators, and tenders, except sawing",Precision production
"Woodworkers, all other",Precision production
Power distributors and dispatchers,Engineering
Power plant operators,Engineering
Stationary engineers and boiler operators,Mechanic and repair technologies
Water and liquid waste treatment plant and system operators,Natural resources and conservation
Chemical plant and system operators,Engineering
Gas plant operators,Engineering
"Petroleum pump system operators, refinery operators, and gaugers",Engineering
Chemical equipment operators and tenders,Engineering
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",Precision production
"Crushing, grinding, and polishing machine setters, operators, and tenders",Precision production
"Grinding and polishing workers, hand",Precision production
"Cutters and trimmers, hand",Precision production
"Cutting and slicing machine setters, operators, and tenders",Precision production
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",Precision production
"Furnace, kiln, oven, drier, and kettle operators and tenders",Precision production
Jewelers and precious stone and metal workers,Precision production
Medical appliance technicians,Mechanic and repair technologies
Packaging and filling machine operators and tenders,Precision production
"Painters, transportation equipment",Visual and performing arts
"Painting, coating, and decorating workers",Visual and performing arts
Photographic process workers,Precision production
Photographic processing machine operators,Precision production
Semiconductor processors,Engineering
Cementing and gluing machine operators and tenders,Precision production
"Cleaning, washing, and metal pickling equipment operators and tenders",Precision production
Cooling and freezing equipment operators and tenders,Precision production
Etchers and engravers,Visual and performing arts
"Molders, shapers, and casters, except metal and plastic",Precision production
"Paper goods machine setters, operators, and tenders",Precision production
Aircraft cargo handling supervisors,Transportation and materials moving
"Airline pilots, copilots, and flight engineers",Engineering
Commercial pilots,Other
Air traffic controllers,Other
Airfield operations specialists,Transportation and materials moving
"Ambulance drivers and attendants, except emergency medical technicians",Transportation and materials moving
"Motor vehicle operators, all other",Transportation and materials moving
Locomotive engineers,Transportation and materials moving
"Railroad brake, signal, and switch operators",Transportation and materials moving
Sailors and marine oilers,Transportation and materials moving
"Captains, mates, and pilots of water vessels",Transportation and materials moving
Motorboat operators,Transportation and materials moving
Ship engineers,Engineering
Service station attendants,Other
Transportation inspectors,Transportation and materials moving
Conveyor operators and tenders,Transportation and materials moving
Excavating and loading machine and dragline operators,Construction trades
Hoist and winch operators,Construction trades
Machine feeders and offbearers,Precision production
"Pump operators, except wellhead pumpers",Mechanic and repair technologies
Wellhead pumpers,Natural resources and conservation
"Tank car, truck, and ship loaders",Transportation and materials moving
Mathematicians,Mathematics and statistics
Mathematical technicians,Mathematics and statistics
Marine engineers and naval architects,Engineering
Atmospheric and space scientists,Physical sciences
Fire inspectors and investigators,"Homeland Security, law enforcement, firefighting, and protective services"
Correctional officers and jailers,"Homeland Security, law enforcement, firefighting, and protective services"
Gaming cage workers,Business/marketing
"Eligibility interviewers, government programs",Public administration and social services
Forest and conservation workers,Natural resources and conservation
Crane and tower operators,Construction trades
Probation officers and correctional treatment specialists,Public administration and social services
"Judges, magistrate judges, and magistrates",Law/legal studies
"Engineering teachers, postsecondary",Engineering
"Physics teachers, postsecondary",Physical sciences
Gaming surveillance officers and gaming investigators,"Homeland Security, law enforcement, firefighting, and protective services"
"Control and valve installers and repairers, except mechanical door",Mechanic and repair technologies
Court reporters,Communication/journalism
Bailiffs,"Homeland Security, law enforcement, firefighting, and protective services"
Animal control workers,Natural resources and conservation
"Meter readers, utilities",Other
"Logging workers, all other",Natural resources and conservation
Animal scientists,Biological/life sciences
Foresters,Natural resources and conservation
Astronomers,Physical sciences
Industrial-organizational psychologists,Psychology
Sociologists,Social sciences
Geographers,Natural resources and conservation
Historians,History
Political scientists,Social sciences
"Agricultural sciences teachers, postsecondary",Agriculture
"Social work teachers, postsecondary",Education
Prosthodontists,Health professions and related programs
Fish and game wardens,Natural resources and conservation
Logging equipment operators,Natural resources and conservation
Paperhangers,Construction trades
Segmental pavers,Construction trades
"Explosives workers, ordnance handling experts, and blasters",Engineering
Commercial divers,Construction trades
"Aircraft structure, surfaces, rigging, and systems assemblers",Precision production
Traffic technicians,Transportation and materials moving
Gas compressor and gas pumping station operators,Mechanic and repair technologies
Nuclear technicians,Engineering
Models,Visual and performing arts
Agricultural inspectors,Natural resources and conservation
"Derrick operators, oil and gas",Natural resources and conservation
Tire builders,Precision production
Locomotive firers,Transportation and materials moving
Railroad conductors and yardmasters,Transportation and materials moving
Slot key persons,Other
Computer and mathematical science occupations,Computer and information sciences
"Farm, ranch, and other agricultural managers",Agriculture
Manufactured building and mobile home installers,Construction trades
Healthcare practitioner and technical occupations,Health professions and related programs
"Cooks, private household",Personal and culinary services
Management Occupations,Business/marketing
Chief Executives,Business/marketing
General and Operations Managers,Business/marketing
Advertising and Promotions Managers,Business/marketing
Marketing Managers,Business/marketing
Sales Managers,Business/marketing
Administrative Services Managers,Business/marketing
Computer and Information Systems Managers,Computer and information sciences
Financial Managers,Business/marketing
Industrial Production Managers,Engineering
Purchasing Managers,Business/marketing
"Transportation, Storage, and Distribution Managers",Business/marketing
Compensation and Benefits Managers,Business/marketing
Human Resources Managers,Business/marketing
Training and Development Managers,Business/marketing
Construction Managers,Construction trades
"Education Administrators, Elementary and Secondary School",Education
Architectural and Engineering Managers,Engineering
Food Service Managers,Family and consumer sciences
Medical and Health Services Managers,Health professions and related programs
Natural Sciences Managers,Natural resources and conservation
"Property, Real Estate, and Community Association Managers",Business/marketing
Social and Community Service Managers,Public administration and social services
"Managers, All Other",Business/marketing
Business and Financial Operations Occupations,Business/marketing
"Wholesale and Retail Buyers, Except Farm Products",Business/marketing
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Business/marketing
"Claims Adjusters, Examiners, and Investigators",Business/marketing
Compliance Officers,Public administration and social services
Cost Estimators,Construction trades
"Human Resources, Training, and Labor Relations Specialists, All Other*",Business/marketing
Management Analysts,Business/marketing
"Meeting, Convention, and Event Planners*",Other
"Compensation, Benefits, and Job Analysis Specialists",Business/marketing
Training and Development Specialists,Education
Market Research Analysts and Marketing Specialists*,Business/marketing
"Business Operations Specialists, All Other*",Business/marketing
Accountants and Auditors,Business/marketing
Appraisers and Assessors of Real Estate,Other
Budget Analysts,Business/marketing
Credit Analysts,Business/marketing
Financial Analysts,Business/marketing
Personal Financial Advisors,Business/marketing
Insurance Underwriters,Business/marketing
Loan Officers,Business/marketing
Tax Preparers,Business/marketing
"Financial Specialists, All Other",Business/marketing
Computer and Mathematical Occupations,Computer and information sciences
Computer and Information Research Scientists,Computer and information sciences
Computer Systems Analysts,Computer and information sciences
Computer Programmers,Computer and information sciences
"Software Developers, Applications",Computer and information sciences
"Software Developers, Systems Software",Computer and information sciences
Database Administrators,Computer and information sciences
Network and Computer Systems Administrators*,Computer and information sciences
Computer Support Specialists,Computer and information sciences
"Information Security Analysts, Web Developers, and Computer Network Architects",Computer and information sciences
"Computer Occupations, All Other*",Computer and information sciences
Operations Research Analysts,Mathematics and statistics
Architecture and Engineering Occupations,Engineering
"Architects, Except Landscape and Naval",Architecture
Landscape Architects,Other
Chemical Engineers,Engineering
Civil Engineers,Engineering
Computer Hardware Engineers,Computer and information sciences
Electrical Engineers,Engineering
"Electronics Engineers, Except Computer",Engineering
Environmental Engineers,Natural resources and conservation
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Engineering
Industrial Engineers,Engineering
Materials Engineers,Engineering
Mechanical Engineers,Engineering
"Engineers, All Other",Engineering
Architectural and Civil Drafters,Engineering
Mechanical Drafters,Engineering
Civil Engineering Technicians,Engineering technologies
Electrical and Electronics Engineering Technicians,Engineering technologies
Industrial Engineering Technicians,Engineering technologies
Mechanical Engineering Technicians,Engineering technologies
"Engineering Technicians, Except Drafters, All Other",Engineering technologies
Surveying and Mapping Technicians,Engineering technologies
"Life, Physical, and Social Science Occupations",Physical sciences
Biochemists and Biophysicists,Biological/life sciences
Materials Scientists,Physical sciences
"Environmental Scientists and Specialists, Including Health",Natural resources and conservation
"Physical Scientists, All Other",Physical sciences
"Clinical, Counseling, and School Psychologists",Psychology
"Psychologists, All Other",Psychology
Urban and Regional Planners,Other
Chemical Technicians,Physical sciences
"Environmental Science and Protection Technicians, Including Health",Natural resources and conservation
Community and Social Service Occupations,Public administration and social services
Substance Abuse and Behavioral Disorder Counselors,Public administration and social services
"Educational, Guidance, School, and Vocational Counselors",Education
Mental Health Counselors,Psychology
Rehabilitation Counselors,Public administration and social services
"Child, Family, and School Social Workers",Social sciences
Healthcare Social Workers,Public administration and social services
Mental Health and Substance Abuse Social Workers,Public administration and social services
"Social Workers, All Other",Public administration and social services
Health Educators,Health professions and related programs
Probation Officers and Correctional Treatment Specialists,"Homeland Security, law enforcement, firefighting, and protective services"
Social and Human Service Assistants,Public administration and social services
"Community and Social Service Specialists, All Other*",Public administration and social services
"Directors, Religious Activities and Education",Theology and religious vocations
Legal Occupations,Law/legal studies
Paralegals and Legal Assistants*,Law/legal studies
"Legal Support Workers, All Other",Law/legal studies
"Education, Training, and Library Occupations",Education
"Business Teachers, Postsecondary",Education
"Computer Science Teachers, Postsecondary",Computer and information sciences
"Mathematical Science Teachers, Postsecondary",Mathematics and statistics
"Architecture Teachers, Postsecondary",Architecture
"Engineering Teachers, Postsecondary",Engineering
"Biological Science Teachers, Postsecondary",Biological/life sciences
"Chemistry Teachers, Postsecondary",Physical sciences
"Political Science Teachers, Postsecondary",Social sciences
"Psychology Teachers, Postsecondary",Psychology
"Nursing Instructors and Teachers, Postsecondary",Health professions and related programs
"Education Teachers, Postsecondary",Education
"Art, Drama, and Music Teachers, Postsecondary",Visual and performing arts
"Communications Teachers, Postsecondary",Communication/journalism
"English Language and Literature Teachers, Postsecondary",English
"History Teachers, Postsecondary",History
"Philosophy and Religion Teachers, Postsecondary",Philosophy and religious studies
"Postsecondary Teachers, All Other",Education
"Preschool Teachers, Except Special Education",Education
"Kindergarten Teachers, Except Special Education",Education
"Elementary School Teachers, Except Special Education",Education
"Middle School Teachers, Except Special and Career/Technical Education",Education
"Secondary School Teachers, Except Special and Career/Technical Education",Education
"Career/Technical Education Teachers, Secondary School",Education
"Special Education Teachers, Preschool, Kindergarten, and Elementary School*",Education
"Special Education Teachers, Middle School",Education
"Special Education Teachers, Secondary School",Education
Self-Enrichment Education Teachers,Education
"Teachers and Instructors, All Other*",Education
Instructional Coordinators,Education
Teacher Assistants,Education
"Arts, Design, Entertainment, Sports, and Media Occupations",Visual and performing arts
Art Directors,Visual and performing arts
Commercial and Industrial Designers,Visual and performing arts
Floral Designers,Family and consumer sciences
Graphic Designers,Visual and performing arts
Interior Designers,Visual and performing arts
Merchandise Displayers and Window Trimmers,Visual and performing arts
Producers and Directors,Visual and performing arts
Athletes and Sports Competitors,Parks and recreation
Coaches and Scouts,Parks and recreation
Musicians and Singers,Visual and performing arts
Public Relations Specialists,Communication/journalism
Technical Writers,Communication/journalism
Writers and Authors,English
Interpreters and Translators,"Foreign languages, literatures, and linguistics"
Audio and Video Equipment Technicians,Communication technologies
Broadcast Technicians,Communication/journalism
Healthcare Practitioners and Technical Occupations,Health professions and related programs
"Dentists, General",Health professions and related programs
Dietitians and Nutritionists,Family and consumer sciences
Family and General Practitioners,Health professions and related programs
"Physicians and Surgeons, All Other",Health professions and related programs
Physician Assistants,Health professions and related programs
Occupational Therapists,Health professions and related programs
Physical Therapists,Health professions and related programs
Recreational Therapists,Parks and recreation
Respiratory Therapists,Health professions and related programs
Speech-Language Pathologists,Communication/journalism
"Therapists, All Other*",Health professions and related programs
"Health Diagnosing and Treating Practitioners, All Other",Health professions and related programs
Dental Hygienists,Health professions and related programs
Cardiovascular Technologists and Technicians,Health professions and related programs
Nuclear Medicine Technologists,Health professions and related programs
Radiologic Technologists and Technicians*,Health professions and related programs
Emergency Medical Technicians and Paramedics,Health professions and related programs
Dietetic Technicians,Family and consumer sciences
Pharmacy Technicians,Health professions and related programs
Surgical Technologists,Health professions and related programs
Licensed Practical and Licensed Vocational Nurses,Health professions and related programs
Medical Records and Health Information Technicians,Health professions and related programs
"Opticians, Dispensing",Health professions and related programs
"Health Technologists and Technicians, All Other*",Health professions and related programs
Occupational Health and Safety Specialists,Health professions and related programs
Healthcare Support Occupations,Health professions and related programs
Home Health Aides,Health professions and related programs
"Nursing Aides, Orderlies, and Attendants*",Health professions and related programs
Physical Therapist Assistants,Health professions and related programs
Physical Therapist Aides,Health professions and related programs
Massage Therapists,Personal and culinary services
Dental Assistants,Health professions and related programs
Medical Assistants,Health professions and related programs
Medical Transcriptionists,Health professions and related programs
Pharmacy Aides,Health professions and related programs
Veterinary Assistants and Laboratory Animal Caretakers,Biological/life sciences
"Healthcare Support Workers, All Other*",Health professions and related programs
Protective Service Occupations,"Homeland Security, law enforcement, firefighting, and protective services"
First-Line Supervisors of Correctional Officers,"Homeland Security, law enforcement, firefighting, and protective services"
First-Line Supervisors of Police and Detectives,"Homeland Security, law enforcement, firefighting, and protective services"
First-Line Supervisors of Fire Fighting and Prevention Workers,"Homeland Security, law enforcement, firefighting, and protective services"
"First-Line Supervisors of Protective Service Workers, All Other","Homeland Security, law enforcement, firefighting, and protective services"
Firefighters,"Homeland Security, law enforcement, firefighting, and protective services"
Correctional Officers and Jailers,"Homeland Security, law enforcement, firefighting, and protective services"
Detectives and Criminal Investigators,"Homeland Security, law enforcement, firefighting, and protective services"
Police and Sheriff's Patrol Officers,"Homeland Security, law enforcement, firefighting, and protective services"
Security Guards,"Homeland Security, law enforcement, firefighting, and protective services"
Crossing Guards,Other
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Parks and recreation
"Protective Service Workers, All Other *","Homeland Security, law enforcement, firefighting, and protective services"
Food Preparation and Serving Related Occupations,Family and consumer sciences
Chefs and Head Cooks,Personal and culinary services
First-Line Supervisors of Food Preparation and Serving Workers,Family and consumer sciences
"Cooks, Fast Food",Personal and culinary services
"Cooks, Institution and Cafeteria",Personal and culinary services
"Cooks, Restaurant",Personal and culinary services
"Cooks, Short Order",Personal and culinary services
Food Preparation Workers,Family and consumer sciences
"Combined Food Preparation and Serving Workers, Including Fast Food",Personal and culinary services
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",Personal and culinary services
Waiters and Waitresses,Personal and culinary services
"Food Servers, Nonrestaurant",Personal and culinary services
Dining Room and Cafeteria Attendants and Bartender Helpers,Personal and culinary services
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Personal and culinary services
Building and Grounds Cleaning and Maintenance Occupations,Construction trades
First-Line Supervisors of Housekeeping and Janitorial Workers,Family and consumer sciences
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Agriculture
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Other
Maids and Housekeeping Cleaners,Family and consumer sciences
Landscaping and Groundskeeping Workers,Agriculture
Tree Trimmers and Pruners,Natural resources and conservation
Personal Care and Service Occupations,Personal and culinary services
First-Line Supervisors of Personal Service Workers,Family and consumer sciences
Nonfarm Animal Caretakers,Other
"Ushers, Lobby Attendants, and Ticket Takers",Other
Amusement and Recreation Attendants,Parks and recreation
"Locker Room, Coatroom, and Dressing Room Attendants",Personal and culinary services
Funeral Attendants,Other
"Hairdressers, Hairstylists, and Cosmetologists",Personal and culinary services
Skincare Specialists,Family and consumer sciences
Childcare Workers,Family and consumer sciences
Personal Care Aides,Other
Fitness Trainers and Aerobics Instructors,Parks and recreation
Recreation Workers,Parks and recreation
Residential Advisors,Education
Sales and Related Occupations,Business/marketing
First-Line Supervisors of Retail Sales Workers,Business/marketing
First-Line Supervisors of Non-Retail Sales Workers,Business/marketing
Counter and Rental Clerks,Business/marketing
Parts Salespersons,Business/marketing
Retail Salespersons,Business/marketing
Advertising Sales Agents,Business/marketing
Insurance Sales Agents,Business/marketing
"Securities, Commodities, and Financial Services Sales Agents",Business/marketing
Travel Agents,Business/marketing
"Sales Representatives, Services, All Other",Business/marketing
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Business/marketing
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Business/marketing
Demonstrators and Product Promoters,Business/marketing
Real Estate Sales Agents,Business/marketing
Sales Engineers,Engineering
"Sales and Related Workers, All Other*",Business/marketing
Office and Administrative Support Occupations,Business/marketing
First-Line Supervisors of Office and Administrative Support Workers,Business/marketing
"Switchboard Operators, Including Answering Service",Communication technologies
Telephone Operators,Communication technologies
"Communications Equipment Operators, All Other",Communication/journalism
Bill and Account Collectors,Business/marketing
Billing and Posting Clerks,Business/marketing
"Bookkeeping, Accounting, and Auditing Clerks",Business/marketing
Payroll and Timekeeping Clerks,Business/marketing
Procurement Clerks,Business/marketing
"Court, Municipal, and License Clerks",Public administration and social services
Customer Service Representatives,Business/marketing
"Eligibility Interviewers, Government Programs",Public administration and social services
File Clerks,Other
"Hotel, Motel, and Resort Desk Clerks",Other
"Interviewers, Except Eligibility and Loan",Communication/journalism
Loan Interviewers and Clerks,Business/marketing
New Accounts Clerks,Business/marketing
Order Clerks,Business/marketing
"Human Resources Assistants, Except Payroll and Timekeeping",Business/marketing
Receptionists and Information Clerks,Other
Reservation and Transportation Ticket Agents and Travel Clerks,Business/marketing
"Information and Record Clerks, All Other",Other
"Police, Fire, and Ambulance Dispatchers","Homeland Security, law enforcement, firefighting, and protective services"
"Dispatchers, Except Police, Fire, and Ambulance",Other
Postal Service Clerks,Other
Postal Service Mail Carriers,Other
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Precision production
"Production, Planning, and Expediting Clerks",Business/marketing
"Shipping, Receiving, and Traffic Clerks",Transportation and materials moving
Stock Clerks and Order Fillers,Other
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Other
Executive Secretaries and Executive Administrative Assistants,Business/marketing
Legal Secretaries,Business/marketing
Medical Secretaries,Health professions and related programs
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Business/marketing
Computer Operators,Computer and information sciences
Data Entry Keyers,Computer and information sciences
Word Processors and Typists,Communication technologies
Desktop Publishers,Communication/journalism
"Mail Clerks and Mail Machine Operators, Except Postal Service",Other
"Office Clerks, General",Other
"Office Machine Operators, Except Computer",Precision production
Proofreaders and Copy Markers,English
"Office and Administrative Support Workers, All Other*",Business/marketing
"Farming, Fishing, and Forestry Occupations",Agriculture
Construction and Extraction Occupations,Construction trades
First-Line Supervisors of Construction Trades and Extraction Workers,Construction trades
Brickmasons and Blockmasons,Construction trades
Cement Masons and Concrete Finishers,Construction trades
Construction Laborers,Construction trades
Operating Engineers and Other Construction Equipment Operators,Construction trades
"Insulation Workers, Floor, Ceiling, and Wall",Construction trades
"Painters, Construction and Maintenance",Construction trades
"Plumbers, Pipefitters, and Steamfitters",Construction trades
Plasterers and Stucco Masons,Construction trades
Sheet Metal Workers,Construction trades
Construction and Building Inspectors,Construction trades
"Installation, Maintenance, and Repair Occupations",Mechanic and repair technologies
"First-Line Supervisors of Mechanics, Installers, and Repairers",Mechanic and repair technologies
"Computer, Automated Teller, and Office Machine Repairers",Mechanic and repair technologies
"Telecommunications Equipment Installers and Repairers, Except Line Installers",Engineering technologies
Automotive Body and Related Repairers,Mechanic and repair technologies
Automotive Service Technicians and Mechanics,Mechanic and repair technologies
Bus and Truck Mechanics and Diesel Engine Specialists,Mechanic and repair technologies
Outdoor Power Equipment and Other Small Engine Mechanics,Mechanic and repair technologies
Tire Repairers and Changers,Mechanic and repair technologies
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Mechanic and repair technologies
Home Appliance Repairers,Mechanic and repair technologies
Industrial Machinery Mechanics,Mechanic and repair technologies
"Maintenance Workers, Machinery",Mechanic and repair technologies
Electrical Power-Line Installers and Repairers,Engineering
Telecommunications Line Installers and Repairers,Engineering technologies
"Maintenance and Repair Workers, General",Mechanic and repair technologies
"Helpers--Installation, Maintenance, and Repair Workers",Mechanic and repair technologies
"Installation, Maintenance, and Repair Workers, All Other*",Mechanic and repair technologies
Production Occupations,Precision production
First-Line Supervisors of Production and Operating Workers,Engineering
Electrical and Electronic Equipment Assemblers,Precision production
Electromechanical Equipment Assemblers,Precision production
Engine and Other Machine Assemblers,Precision production
Team Assemblers,Precision production
"Assemblers and Fabricators, All Other",Precision production
Butchers and Meat Cutters,Family and consumer sciences
Food Batchmakers,Family and consumer sciences
"Computer-Controlled Machine Tool Operators, Metal and Plastic",Precision production
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Precision production
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Precision production
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Precision production
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",Precision production
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Precision production
Tool and Die Makers,Precision production
"Welders, Cutters, Solderers, and Brazers",Precision production
Prepress Technicians and Workers,Other
Printing Press Operators,Precision production
Print Binding and Finishing Workers,Precision production
Laundry and Dry-Cleaning Workers,Other
Cabinetmakers and Bench Carpenters,Construction trades
Power Distributors and Dispatchers,Engineering
Power Plant Operators,Engineering
Stationary Engineers and Boiler Operators,Engineering
Water and Wastewater Treatment Plant and System Operators,Natural resources and conservation
"Mixing and Blending Machine Setters, Operators, and Tenders",Precision production
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Precision production
"Inspectors, Testers, Sorters, Samplers, and Weighers",Precision production
Dental Laboratory Technicians,Health professions and related programs
Packaging and Filling Machine Operators and Tenders,Precision production
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Precision production
"Painters, Transportation Equipment",Visual and performing arts
Helpers--Production Workers,Precision production
"Production Workers, All Other*",Precision production
Transportation and Material Moving Occupations,Engineering
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Construction trades
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,Transportation and materials moving
"Bus Drivers, Transit and Intercity",Transportation and materials moving
"Bus Drivers, School or Special Client",Transportation and materials moving
Driver/Sales Workers,Transportation and materials moving
Heavy and Tractor-Trailer Truck Drivers,Transportation and materials moving
Light Truck or Delivery Services Drivers,Transportation and materials moving
Taxi Drivers and Chauffeurs,Transportation and materials moving
"Motor Vehicle Operators, All Other",Transportation and materials moving
Parking Lot Attendants,Other
Automotive and Watercraft Service Attendants,Mechanic and repair technologies
Industrial Truck and Tractor Operators,Transportation and materials moving
Cleaners of Vehicles and Equipment,Mechanic and repair technologies
"Laborers and Freight, Stock, and Material Movers, Hand",Transportation and materials moving
"Packers and Packagers, Hand",Precision production
Refuse and Recyclable Material Collectors,Other
Public Relations and Fundraising Managers,Communication/journalism
"Farmers, Ranchers, and Other Agricultural Managers",Agriculture
"Education Administrators, Preschool and Childcare Center/Program",Education
"Education Administrators, Postsecondary",Education
"Education Administrators, All Other",Education
Gaming Managers,Business/marketing
Lodging Managers,Other
Postmasters and Mail Superintendents,Business/marketing
Emergency Management Directors,"Homeland Security, law enforcement, firefighting, and protective services"
"Agents and Business Managers of Artists, Performers, and Athletes",Business/marketing
"Buyers and Purchasing Agents, Farm Products",Agriculture
"Insurance Appraisers, Auto Damage",Other
Financial Examiners,Business/marketing
Credit Counselors,Business/marketing
"Tax Examiners and Collectors, and Revenue Agents",Business/marketing
Cartographers and Photogrammetrists,Other
Aerospace Engineers,Engineering
Biomedical Engineers,Engineering
"Mining and Geological Engineers, Including Mining Safety Engineers",Engineering
Nuclear Engineers,Engineering
Petroleum Engineers,Engineering
Electrical and Electronics Drafters,Engineering
"Drafters, All Other",Engineering
Aerospace Engineering and Operations Technicians,Engineering
Electro-Mechanical Technicians,Engineering technologies
Environmental Engineering Technicians,Natural resources and conservation
Food Scientists and Technologists,Biological/life sciences
Soil and Plant Scientists,Natural resources and conservation
Zoologists and Wildlife Biologists,Biological/life sciences
"Biological Scientists, All Other",Biological/life sciences
Conservation Scientists,Natural resources and conservation
"Medical Scientists, Except Epidemiologists",Biological/life sciences
"Life Scientists, All Other",Biological/life sciences
Atmospheric and Space Scientists,Physical sciences
"Geoscientists, Except Hydrologists and Geographers",Physical sciences
Survey Researchers,Social sciences
Anthropologists and Archeologists,Social sciences
Political Scientists,Social sciences
"Social Scientists and Related Workers, All Other",Social sciences
Agricultural and Food Science Technicians,Natural resources and conservation
Biological Technicians,Biological/life sciences
Geological and Petroleum Technicians,Natural resources and conservation
Nuclear Technicians,Engineering
Social Science Research Assistants,Social sciences
Forensic Science Technicians,Biological/life sciences
Forest and Conservation Technicians,Natural resources and conservation
"Life, Physical, and Social Science Technicians, All Other",Science technologies
Marriage and Family Therapists,Family and consumer sciences
"Counselors, All Other",Other
"Religious Workers, All Other",Philosophy and religious studies
Judicial Law Clerks,Law/legal studies
"Arbitrators, Mediators, and Conciliators",Law/legal studies
"Title Examiners, Abstractors, and Searchers",Other
"Agricultural Sciences Teachers, Postsecondary",Agriculture
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Physical sciences
"Environmental Science Teachers, Postsecondary",Natural resources and conservation
"Physics Teachers, Postsecondary",Physical sciences
"Anthropology and Archeology Teachers, Postsecondary",Social sciences
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Area, ethnic, and gender studies"
"Economics Teachers, Postsecondary",Other
"Geography Teachers, Postsecondary",Other
"Sociology Teachers, Postsecondary",Social sciences
"Social Sciences Teachers, Postsecondary, All Other",Social sciences
"Health Specialties Teachers, Postsecondary",Health professions and related programs
"Library Science Teachers, Postsecondary",Library science
"Criminal Justice and Law Enforcement Teachers, Postsecondary","Homeland Security, law enforcement, firefighting, and protective services"
"Law Teachers, Postsecondary",Law/legal studies
"Social Work Teachers, Postsecondary",Education
"Foreign Language and Literature Teachers, Postsecondary","Foreign languages, literatures, and linguistics"
Graduate Teaching Assistants,Education
"Home Economics Teachers, Postsecondary",Family and consumer sciences
"Recreation and Fitness Studies Teachers, Postsecondary",Parks and recreation
"Vocational Education Teachers, Postsecondary",Education
"Career/Technical Education Teachers, Middle School",Education
Adult Basic and Secondary Education and Literacy Teachers and Instructors,Education
Museum Technicians and Conservators,Other
Library Technicians,Library science
Audio-Visual and Multimedia Collections Specialists,Visual and performing arts
"Education, Training, and Library Workers, All Other",Education
Craft Artists,Visual and performing arts
"Fine Artists, Including Painters, Sculptors, and Illustrators",Visual and performing arts
Multimedia Artists and Animators,Visual and performing arts
"Artists and Related Workers, All Other",Visual and performing arts
Fashion Designers,Visual and performing arts
Set and Exhibit Designers,Visual and performing arts
"Designers, All Other",Visual and performing arts
"Umpires, Referees, and Other Sports Officials",Parks and recreation
Music Directors and Composers,Visual and performing arts
"Entertainers and Performers, Sports and Related Workers, All Other",Visual and performing arts
Radio and Television Announcers,Communication/journalism
Public Address System and Other Announcers,Communication/journalism
Broadcast News Analysts,Communication/journalism
Reporters and Correspondents,Communication/journalism
"Media and Communication Workers, All Other",Communication/journalism
Sound Engineering Technicians,Communication technologies
"Camera Operators, Television, Video, and Motion Picture",Visual and performing arts
Film and Video Editors,Visual and performing arts
"Media and Communication Equipment Workers, All Other",Communication/journalism
"Dentists, All Other Specialists",Health professions and related programs
"Internists, General",Health professions and related programs
Obstetricians and Gynecologists,Health professions and related programs
"Pediatricians, General",Health professions and related programs
Registered Nurses*,Health professions and related programs
Radiation Therapists,Health professions and related programs
Medical and Clinical Laboratory Technologists,Health professions and related programs
Medical and Clinical Laboratory Technicians,Health professions and related programs
Diagnostic Medical Sonographers,Health professions and related programs
Psychiatric Technicians,Health professions and related programs
