year,college,CIP Code,Category,Bachelor’s,Associate,Diploma/Certificates
2016,asu,51,Health professions and related programs,10.7%,,
2016,asu,52,Business/marketing,18.6%,,
2016,asu,54,History,1.3%,,
2016,asu,,Other,,,
2016,asu,,TOTAL (should = 100%),100.0%,0.00%,0.00%
2016,caltech,1,Agriculture,,,
2016,caltech,3,Natural resources and conservation,,,
2016,caltech,4,Architecture,,,
2016,caltech,5,"Area, ethnic, and gender studies",,,
2016,caltech,9,Communication/journalism,,,
2016,caltech,10,Communication technologies,,,
2016,caltech,11,Computer and information sciences,23%,,
2016,caltech,12,Personal and culinary services,,,
2016,caltech,13,Education,,,
2016,caltech,14,Engineering,37%,,
2016,caltech,15,Engineering technologies,,,
2016,caltech,16,"Foreign languages, literatures, and linguistics",,,
2016,caltech,19,Family and consumer sciences,,,
2016,caltech,22,Law/legal studies,,,
2016,caltech,23,English,0.40%,,
2016,caltech,24,Liberal arts/general studies,,,
2016,caltech,25,Library science,,,
2016,caltech,26,Biological/life sciences,7%,,
2016,caltech,27,Mathematics and statistics,14%,,
2016,caltech,28 & 29,Military science and military technologies,,,
2016,caltech,30,Interdisciplinary studies,,,
2016,caltech,31,Parks and recreation,,,
2016,caltech,38,Philosophy and religious studies,,,
2016,caltech,39,Theology and religious vocations,,,
2016,caltech,40,Physical sciences,18%,,
2016,caltech,41,Science technologies,,,
2016,caltech,42,Psychology,,,
2016,caltech,43,"Homeland Security, law enforcement, firefighting, and
protective services",,,
2016,caltech,44,Public administration and social services,,,
2016,caltech,45,Social sciences,0.40%,,
2016,caltech,46,Construction trades,,,
2016,caltech,47,Mechanic and repair technologies,,,
2016,caltech,48,Precision production,,,
2016,caltech,49,Transportation and materials moving,,,
2016,caltech,50,Visual and performing arts,,,
2016,caltech,51,Health professions and related programs,,,
2016,caltech,52,Business/marketing,0.40%,,
2016,caltech,54,History,0.40%,,
2016,caltech,,Other,,,
2016,caltech,,TOTAL (should = 100%),100.00%,0.00%,0.00%
2016,colgate,1,Agriculture,0,,
2016,colgate,3,Natural resources and conservation,4.31%,,
2016,colgate,4,Architecture,0,,
2016,colgate,5,"Area, ethnic, and gender studies",3.95%,,
2016,colgate,9,Communication/journalism,0,,
2016,colgate,10,Communication technologies,0,,
2016,colgate,11,Computer and information sciences,3.71%,,
2016,colgate,12,Personal and culinary services,0,,
2016,colgate,13,Education,1.32%,,
2016,colgate,14,Engineering,0,,
2016,colgate,15,Engineering technologies,0,,
2016,colgate,16,"Foreign languages, literatures, and linguistics",5.63%,,
2016,colgate,19,Family and consumer sciences,0,,
2016,colgate,22,Law/legal studies,0,,
2016,colgate,23,English,6.23%,,
2016,colgate,24,Liberal arts/general studies,0,,
2016,colgate,25,Library science,0,,
2016,colgate,26,Biological/life sciences,12.10%,,
2016,colgate,27,Mathematics and statistics,2.16%,,
2016,colgate,28 & 29,Military science and military technologies,0,,
2016,colgate,30,Interdisciplinary studies,3.71%,,
2016,colgate,31,Parks and recreation,0,,
2016,colgate,38,Philosophy and religious studies,3.83%,,
2016,colgate,39,Theology and religious vocations,0,,
2016,colgate,40,Physical sciences,5.99%,,
2016,colgate,41,Science technologies,0,,
2016,colgate,42,Psychology,5.87%,,
2016,colgate,43,"Homeland Security, law enforcement, firefighting, and
protective services",0,,
2016,colgate,44,Public administration and social services,0,,
2016,colgate,45,Social sciences,32.69%,,
2016,colgate,46,Construction trades,0,,
2016,colgate,47,Mechanic and repair technologies,0,,
2016,colgate,48,Precision production,0,,
2016,colgate,49,Transportation and materials moving,0,,
2016,colgate,50,Visual and performing arts,3.11%,,
2016,colgate,51,Health professions and related programs,0,,
2016,colgate,52,Business/marketing,0,,
2016,colgate,54,History,5.39%,,
2016,colgate,,Other,,,
2016,colgate,,TOTAL (should = 100%),100.00%,0.00%,0.00%
2016,dartmouth,1,Agriculture,,,
2016,dartmouth,3,Natural resources and conservation,3%,,
2016,dartmouth,4,Architecture,,,
2016,dartmouth,5,"Area, ethnic, and gender studies",4%,,
2016,dartmouth,9,Communication/journalism,,,
2016,dartmouth,10,Communication technologies,,,
2016,dartmouth,11,Computer and information sciences,5%,,
2016,dartmouth,12,Personal and culinary services,,,
2016,dartmouth,13,Education,,,
2016,dartmouth,14,Engineering,8%,,
2016,dartmouth,15,Engineering technologies,,,
2016,dartmouth,16,"Foreign languages, literatures, and linguistics",4%,,
2016,dartmouth,19,Family and consumer sciences,,,
2016,dartmouth,22,Law/legal studies,,,
2016,dartmouth,23,English,4%,,
2016,dartmouth,24,Liberal arts/general studies,0%,,
2016,dartmouth,25,Library science,,,
2016,dartmouth,26,Biological/life sciences,10%,,
2016,dartmouth,27,Mathematics and statistics,4%,,
2016,dartmouth,28 & 29,Military science and military technologies,,,
2016,dartmouth,30,Interdisciplinary studies,2%,,
2016,dartmouth,31,Parks and recreation,,,
2016,dartmouth,38,Philosophy and religious studies,2%,,
2016,dartmouth,39,Theology and religious vocations,,,
2016,dartmouth,40,Physical sciences,4%,,
2016,dartmouth,41,Science technologies,,,
2016,dartmouth,42,Psychology,6%,,
2016,dartmouth,43,"Homeland Security, law enforcement, firefighting, and
protective services",,,
2016,dartmouth,44,Public administration and social services,,,
2016,dartmouth,45,Social sciences,35%,,
2016,dartmouth,46,Construction trades,,,
2016,dartmouth,47,Mechanic and repair technologies,,,
2016,dartmouth,48,Precision production,,,
2016,dartmouth,49,Transportation and materials moving,,,
2016,dartmouth,50,Visual and performing arts,4%,,
2016,dartmouth,51,Health professions and related programs,,,
2016,dartmouth,52,Business/marketing,,,
2016,dartmouth,54,History,6%,,
2016,dartmouth,,Other,,,
2016,dartmouth,,TOTAL (should = 100%),100.00%,0.00%,0.00%
2016,george,1,Agriculture,,,
2016,george,3,Natural resources and conservation,,,
2016,george,4,Architecture,,,
2016,george,5,"Area, ethnic, and gender studies",1.4%,,
2016,george,9,Communication/journalism,,,
2016,george,10,Communication technologies,,,
2016,george,11,Computer and information sciences,1.4%,,
2016,george,12,Personal and culinary services,,,
2016,george,13,Education,,,
2016,george,14,Engineering,,,
2016,george,15,Engineering technologies,,,
2016,george,16,"Foreign languages, literatures, and linguistics",5.1%,,
2016,george,19,Family and consumer sciences,,,
2016,george,22,Law/legal studies,,,
2016,george,23,English,4.5%,,
2016,george,24,Liberal arts/general studies,2.0%,,
2016,george,25,Library science,,,
2016,george,26,Biological/life sciences,5.9%,,
2016,george,27,Mathematics and statistics,1.2%,,
2016,george,28 & 29,Military science and military technologies,,,
2016,george,30,Interdisciplinary studies,6.2%,,
2016,george,31,Parks and recreation,,,
2016,george,38,Philosophy and religious studies,1.3%,,
2016,george,39,Theology and religious vocations,,,
2016,george,40,Physical sciences,1.0%,,
2016,george,41,Science technologies,,,
2016,george,42,Psychology,4.6%,,
2016,george,43,"Homeland Security, law enforcement, firefighting, and
protective services",,,
2016,george,44,Public administration and social services,,,
2016,george,45,Social sciences,37.6%,,
2016,george,46,Construction trades,,,
2016,george,47,Mechanic and repair technologies,,,
2016,george,48,Precision production,,,
2016,george,49,Transportation and materials moving,,,
2016,george,50,Visual and performing arts,1.8%,,
2016,george,51,Health professions and related programs,6.2%,,100.00%
2016,george,52,Business/marketing,18.4%,,
2016,george,54,History,1.4%,,
2016,george,,Other,,,
2016,george,,TOTAL (should = 100%),100.00%,0.00%,100.00%
2016,ucsd,26.01,"Biology, General",21%,,
2016,ucsd,45.06,Economics,13%,,
2016,ucsd,14.09,Computer Engineering,9%,,
2016,ucsd,42.01,"Psychology, General",6%,,
2016,ucsd,9.01,Communication and Media Studies,5%,,
2016,ucsd,,Other,46%,,
2016,ucsd,,TOTAL (should = 100%),100%,,
2016,umich,1,Agriculture,0.0%,,
2016,umich,3,Natural resources and conservation,1.5%,,
2016,umich,4,Architecture,0.7%,,
2016,umich,5,"Area, ethnic, and gender studies",1.9%,,
2016,umich,9,Communication/journalism,2.9%,,
2016,umich,10,Communication technologies,0.0%,,
2016,umich,11,Computer and information sciences,7.4%,,
2016,umich,12,Personal and culinary services,0.0%,,
2016,umich,13,Education,1.1%,,
2016,umich,14,Engineering,15.7%,,
2016,umich,15,Engineering technologies,0.0%,,
2016,umich,16,"Foreign languages, literatures, and linguistics",4.1%,,
2016,umich,19,Family and consumer sciences,0.0%,,
2016,umich,22,Law/legal studies,0.0%,,
2016,umich,23,English,2.7%,,
2016,umich,24,Liberal arts/general studies,0.9%,,
2016,umich,25,Library science,0.0%,,
2016,umich,26,Biological/life sciences,8.5%,,
2016,umich,27,Mathematics and statistics,3.3%,,
2016,umich,28 & 29,Military science and military technologies,0.0%,,
2016,umich,30,Interdisciplinary studies,3.9%,,
2016,umich,31,Parks and recreation,2.8%,,
2016,umich,38,Philosophy and religious studies,0.4%,,
2016,umich,39,Theology and religious vocations,0.0%,,
2016,umich,40,Physical sciences,2.0%,,
2016,umich,41,Science technologies,0.0%,,
2016,umich,42,Psychology,9.8%,,
2016,umich,43,"Homeland Security, law enforcement, firefighting, and
protective services",0.0%,,
2016,umich,44,Public administration and social services,0.8%,,
2016,umich,45,Social sciences,12.5%,,
2016,umich,46,Construction trades,0.0%,,
2016,umich,47,Mechanic and repair technologies,0.0%,,
2016,umich,48,Precision production,0.0%,,
2016,umich,49,Transportation and materials moving,0.0%,,
2016,umich,50,Visual and performing arts,5.9%,,
2016,umich,51,Health professions and related programs,2.6%,,
2016,umich,52,Business/marketing,6.8%,,
2016,umich,54,History,1.6%,,
2016,umich,,Other,,,
2016,umich,,TOTAL (should = 100%),100%,0%,0%
2016,wsu,1,Agriculture,3%,,1%
2016,wsu,3,Natural resources and conservation,1%,,
2016,wsu,4,Architecture,1%,,
2016,wsu,5,"Area, ethnic, and gender studies",0%,,
2016,wsu,9,Communication/journalism,7%,,
2016,wsu,10,Communication technologies,,,
2016,wsu,11,Computer and information sciences,2%,,1%
2016,wsu,12,Personal and culinary services,,,
2016,wsu,13,Education,3%,,41%
2016,wsu,14,Engineering,11%,,0%
2016,wsu,15,Engineering technologies,,,6%
2016,wsu,16,"Foreign languages, literatures, and linguistics",1%,,
2016,wsu,19,Family and consumer sciences,4%,,24%
2016,wsu,22,Law/legal studies,,,
2016,wsu,23,English,2%,,3%
2016,wsu,24,Liberal arts/general studies,2%,,0%
2016,wsu,25,Library science,,,
2016,wsu,26,Biological/life sciences,6%,,2%
2016,wsu,27,Mathematics and statistics,1%,,
2016,wsu,28 & 29,Military science and military technologies,,,
2016,wsu,30,Interdisciplinary studies,1%,,4%
2016,wsu,31,Parks and recreation,3%,,
2016,wsu,38,Philosophy and religious studies,0%,,
2016,wsu,39,Theology and religious vocations,,,
2016,wsu,40,Physical sciences,2%,,
2016,wsu,41,Science technologies,,,
2016,wsu,42,Psychology,7%,,
2016,wsu,43,"Homeland Security, law enforcement, firefighting, and
protective services",3%,,
2016,wsu,44,Public administration and social services,0%,,
2016,wsu,45,Social sciences,12%,,
2016,wsu,46,Construction trades,,,
2016,wsu,47,Mechanic and repair technologies,,,
2016,wsu,48,Precision production,,,
2016,wsu,49,Transportation and materials moving,,,
2016,wsu,50,Visual and performing arts,1%,,
2016,wsu,51,Health professions and related programs,8%,,1%
2016,wsu,52,Business/marketing,20%,,16%
2016,wsu,54,History,1%,,
2016,wsu,,Other,,,
2016,wsu,,TOTAL (should = 100%),100.00%,0.00%,100.00%
2017,asu,1,Agriculture,0.60%,,
2017,asu,3,Natural resources and conservation,2.31%,,
2017,asu,4,Architecture,0.14%,,
2017,asu,5,"Area, ethnic, and gender studies",0.22%,,
2017,asu,9,Communication/journalism,6.92%,,
2017,asu,10,Communication technologies,0.00%,,
2017,asu,11,Computer and information sciences,1.68%,,
2017,asu,12,Personal and culinary services,0.00%,,
2017,asu,13,Education,10.69%,,
2017,asu,14,Engineering,0.00%,,
2017,asu,15,Engineering technologies,1.46%,,
2017,asu,16,"Foreign languages, literatures, and linguistics",0.96%,,
2017,asu,19,Family and consumer sciences,1.08%,,
2017,asu,22,Law/legal studies,0.00%,,
2017,asu,23,English,2.02%,,
2017,asu,24,Liberal arts/general studies,0.65%,,
2017,asu,25,Library science,0.00%,,
2017,asu,26,Biological/life sciences,4.06%,,
2017,asu,27,Mathematics and statistics,0.84%,,
2017,asu,28 & 29,Military science and military technologies,0.00%,,
2017,asu,30,Interdisciplinary studies,0.91%,,
2017,asu,31,Parks and recreation,7.16%,,
2017,asu,38,Philosophy and religious studies,0.72%,,
2017,asu,39,Theology and religious vocations,0.00%,,
2017,asu,40,Physical sciences,3.34%,,
2017,asu,41,Science technologies,0.00%,,
2017,asu,42,Psychology,5.21%,,
2017,asu,43,"Homeland Security, law enforcement, firefighting, and
protective services",3.84%,,
2017,asu,44,Public administration and social services,2.04%,,
2017,asu,45,Social sciences,5.98%,,
2017,asu,46,Construction trades,0.00%,,
2017,asu,47,Mechanic and repair technologies,0.00%,,
2017,asu,48,Precision production,0.00%,,
2017,asu,49,Transportation and materials moving,0.00%,,
2017,asu,50,Visual and performing arts,5.21%,,
2017,asu,51,Health professions and related programs,11.34%,,
2017,asu,52,Business/marketing,19.48%,,
2017,asu,54,History,1.15%,,
2017,asu,,Other,,,
2017,asu,,TOTAL (should = 100%),100.00%,0.00%,0.00%
2017,caltech,1,Agriculture,,,
2017,caltech,3,Natural resources and conservation,,,
2017,caltech,4,Architecture,,,
2017,caltech,5,"Area, ethnic, and gender studies",,,
2017,caltech,9,Communication/journalism,,,
2017,caltech,10,Communication technologies,,,
2017,caltech,11,Computer and information sciences,26%,,
2017,caltech,12,Personal and culinary services,,,
2017,caltech,13,Education,,,
2017,caltech,14,Engineering,36%,,
2017,caltech,15,Engineering technologies,,,
2017,caltech,16,"Foreign languages, literatures, and linguistics",,,
2017,caltech,19,Family and consumer sciences,,,
2017,caltech,22,Law/legal studies,,,
2017,caltech,23,English,0.4%,,
2017,caltech,24,Liberal arts/general studies,,,
2017,caltech,25,Library science,,,
2017,caltech,26,Biological/life sciences,5%,,
2017,caltech,27,Mathematics and statistics,11%,,
2017,caltech,28 & 29,Military science and military technologies,,,
2017,caltech,30,Interdisciplinary studies,,,
2017,caltech,31,Parks and recreation,,,
2017,caltech,38,Philosophy and religious studies,,,
2017,caltech,39,Theology and religious vocations,,,
2017,caltech,40,Physical sciences,20%,,
2017,caltech,41,Science technologies,,,
2017,caltech,42,Psychology,,,
2017,caltech,43,"Homeland Security, law enforcement, firefighting, and
protective services",,,
2017,caltech,44,Public administration and social services,,,
2017,caltech,45,Social sciences,,,
2017,caltech,46,Construction trades,,,
2017,caltech,47,Mechanic and repair technologies,,,
2017,caltech,48,Precision production,,,
2017,caltech,49,Transportation and materials moving,,,
2017,caltech,50,Visual and performing arts,,,
2017,caltech,51,Health professions and related programs,,,
2017,caltech,52,Business/marketing,2%,,
2017,caltech,54,History,,,
2017,caltech,,Other,,,
2017,caltech,,TOTAL (should = 100%),100.00%,0.00%,0.00%
2017,colgate,1,Agriculture,0.00%,,
2017,colgate,3,Natural resources and conservation,4.42%,,
2017,colgate,4,Architecture,0.00%,,
2017,colgate,5,"Area, ethnic, and gender studies",3.06%,,
2017,colgate,9,Communication/journalism,0.00%,,
2017,colgate,10,Communication technologies,0.00%,,
2017,colgate,11,Computer and information sciences,3.74%,,
2017,colgate,12,Personal and culinary services,0.00%,,
2017,colgate,13,Education,3.17%,,
2017,colgate,14,Engineering,0.00%,,
2017,colgate,15,Engineering technologies,0.00%,,
2017,colgate,16,"Foreign languages, literatures, and linguistics",4.99%,,
2017,colgate,19,Family and consumer sciences,0.00%,,
2017,colgate,22,Law/legal studies,0.00%,,
2017,colgate,23,English,4.88%,,
2017,colgate,24,Liberal arts/general studies,0.00%,,
2017,colgate,25,Library science,0.00%,,
2017,colgate,26,Biological/life sciences,12.59%,,
2017,colgate,27,Mathematics and statistics,2.27%,,
2017,colgate,28 & 29,Military science and military technologies,0.00%,,
2017,colgate,30,Interdisciplinary studies,4.08%,,
2017,colgate,31,Parks and recreation,0.00%,,
2017,colgate,38,Philosophy and religious studies,3.97%,,
2017,colgate,39,Theology and religious vocations,0.00%,,
2017,colgate,40,Physical sciences,5.10%,,
2017,colgate,41,Science technologies,0.00%,,
2017,colgate,42,Psychology,5.33%,,
2017,colgate,43,"Homeland Security, law enforcement, firefighting, and
protective services",0.00%,,
2017,colgate,44,Public administration and social services,0.00%,,
2017,colgate,45,Social sciences,32.09%,,
2017,colgate,46,Construction trades,0.00%,,
2017,colgate,47,Mechanic and repair technologies,0.00%,,
2017,colgate,48,Precision production,0.00%,,
2017,colgate,49,Transportation and materials moving,0.00%,,
2017,colgate,50,Visual and performing arts,3.97%,,
2017,colgate,51,Health professions and related programs,0.00%,,
2017,colgate,52,Business/marketing,0.00%,,
2017,colgate,54,History,6.35%,,
2017,colgate,,Other,,,
2017,colgate,,TOTAL (should = 100%),100.00%,0.00%,0.00%
2017,dartmouth,1,Agriculture,,,
2017,dartmouth,3,Natural resources and conservation,3%,,
2017,dartmouth,4,Architecture,,,
2017,dartmouth,5,"Area, ethnic, and gender studies",5%,,
2017,dartmouth,9,Communication/journalism,,,
2017,dartmouth,10,Communication technologies,,,
2017,dartmouth,11,Computer and information sciences,8%,,
2017,dartmouth,12,Personal and culinary services,,,
2017,dartmouth,13,Education,,,
2017,dartmouth,14,Engineering,8%,,
2017,dartmouth,15,Engineering technologies,,,
2017,dartmouth,16,"Foreign languages, literatures, and linguistics",3%,,
2017,dartmouth,19,Family and consumer sciences,,,
2017,dartmouth,22,Law/legal studies,,,
2017,dartmouth,23,English,2%,,
2017,dartmouth,24,Liberal arts/general studies,,,
2017,dartmouth,25,Library science,,,
2017,dartmouth,26,Biological/life sciences,9%,,
2017,dartmouth,27,Mathematics and statistics,3%,,
2017,dartmouth,28 & 29,Military science and military technologies,,,
2017,dartmouth,30,Interdisciplinary studies,1%,,
2017,dartmouth,31,Parks and recreation,,,
2017,dartmouth,38,Philosophy and religious studies,2%,,
2017,dartmouth,39,Theology and religious vocations,,,
2017,dartmouth,40,Physical sciences,4%,,
2017,dartmouth,41,Science technologies,,,
2017,dartmouth,42,Psychology,4%,,
2017,dartmouth,43,"Homeland Security, law enforcement, firefighting, and
protective services",,,
2017,dartmouth,44,Public administration and social services,,,
2017,dartmouth,45,Social sciences,37%,,
2017,dartmouth,46,Construction trades,,,
2017,dartmouth,47,Mechanic and repair technologies,,,
2017,dartmouth,48,Precision production,,,
2017,dartmouth,49,Transportation and materials moving,,,
2017,dartmouth,50,Visual and performing arts,5%,,
2017,dartmouth,51,Health professions and related programs,,,
2017,dartmouth,52,Business/marketing,,,
2017,dartmouth,54,History,6%,,
2017,dartmouth,,Other,,,
2017,dartmouth,,TOTAL (should = 100%),100.00%,0.00%,0.00%
2017,george,1,Agriculture,,,
2017,george,3,Natural resources and conservation,,,
2017,george,4,Architecture,,,
2017,george,5,"Area, ethnic, and gender studies",1.4363%,,
2017,george,9,Communication/journalism,,,
2017,george,10,Communication technologies,,,
2017,george,11,Computer and information sciences,1.5709%,,6%
2017,george,12,Personal and culinary services,,,
2017,george,13,Education,,,
2017,george,14,Engineering,,,
2017,george,15,Engineering technologies,,,
2017,george,16,"Foreign languages, literatures, and linguistics",4.8025%,,
2017,george,19,Family and consumer sciences,,,
2017,george,22,Law/legal studies,,,
2017,george,23,English,4.5332%,,
2017,george,24,Liberal arts/general studies,1.4811%,,
2017,george,25,Library science,,,
2017,george,26,Biological/life sciences,4.6679%,,
2017,george,27,Mathematics and statistics,2.1993%,,
2017,george,28 & 29,Military science and military technologies,,,
2017,george,30,Interdisciplinary studies,6.2837%,,
2017,george,31,Parks and recreation,,,
2017,george,38,Philosophy and religious studies,1.5260%,,
2017,george,39,Theology and religious vocations,,,
2017,george,40,Physical sciences,0.7181%,,
2017,george,41,Science technologies,,,
2017,george,42,Psychology,3.4560%,,
2017,george,43,"Homeland Security, law enforcement, firefighting, and
protective services",,,
2017,george,44,Public administration and social services,,,
2017,george,45,Social sciences,34.0215%,,
2017,george,46,Construction trades,,,
2017,george,47,Mechanic and repair technologies,,,
2017,george,48,Precision production,,,
2017,george,49,Transportation and materials moving,,,
2017,george,50,Visual and performing arts,1.8851%,,
2017,george,51,Health professions and related programs,3.5907%,,94%
2017,george,52,Business/marketing,26.1670%,,
2017,george,54,History,1.6607%,,
2017,george,,Other,,,
2017,george,,TOTAL (should = 100%),100.00%,0.00%,100.00%
2017,ucsd,1,Agriculture,,,
2017,ucsd,3,Natural resources and conservation,,,
2017,ucsd,4,Architecture,,,
2017,ucsd,5,"Area, ethnic, and gender studies",4%,,
2017,ucsd,9,Communication/journalism,4%,,
2017,ucsd,10,Communication technologies,,,
2017,ucsd,11,Computer and information sciences,,,
2017,ucsd,12,Personal and culinary services,,,
2017,ucsd,13,Education,,,
2017,ucsd,14,Engineering,27%,,
2017,ucsd,15,Engineering technologies,,,
2017,ucsd,16,"Foreign languages, literatures, and linguistics",2%,,
2017,ucsd,19,Family and consumer sciences,,,
2017,ucsd,22,Law/legal studies,,,
2017,ucsd,23,English,,,
2017,ucsd,24,Liberal arts/general studies,,,
2017,ucsd,25,Library science,,,
2017,ucsd,26,Biological/life sciences,21%,,
2017,ucsd,27,Mathematics and statistics,4%,,
2017,ucsd,28 & 29,Military science and military technologies,,,
2017,ucsd,30,Interdisciplinary studies,,,
2017,ucsd,31,Parks and recreation,,,
2017,ucsd,38,Philosophy and religious studies,<1%,,
2017,ucsd,39,Theology and religious vocations,,,
2017,ucsd,40,Physical sciences,3%,,
2017,ucsd,41,Science technologies,,,
2017,ucsd,42,Psychology,5%,,
2017,ucsd,43,"Homeland Security, law enforcement, firefighting,
and protective services",,,
2017,ucsd,44,Public administration and social services,,,
2017,ucsd,45,Social sciences,23%,,
2017,ucsd,46,Construction trades,,,
2017,ucsd,47,Mechanic and repair technologies,,,
2017,ucsd,48,Precision production,,,
2017,ucsd,49,Transportation and materials moving,,,
2017,ucsd,50,Visual and performing arts,3%,,
2017,ucsd,51,Health professions and related programs,3%,,
2017,ucsd,52,Business/marketing,,,
2017,ucsd,54,History,1%,,
2017,ucsd,,Other,,,
2017,ucsd,,TOTAL (should = 100%),100.00%,0.00%,0.00%
2017,umich,1,Agriculture,0.0%,,
2017,umich,3,Natural resources and conservation,1.3%,,
2017,umich,4,Architecture,0.8%,,
2017,umich,5,"Area, ethnic, and gender studies",1.3%,,
2017,umich,9,Communication/journalism,3.3%,,
2017,umich,10,Communication technologies,0.0%,,
2017,umich,11,Computer and information sciences,8.6%,,
2017,umich,12,Personal and culinary services,0.0%,,
2017,umich,13,Education,1.0%,,
2017,umich,14,Engineering,17.1%,,
2017,umich,15,Engineering technologies,0.0%,,
2017,umich,16,"Foreign languages, literatures, and linguistics",2.4%,,
2017,umich,19,Family and consumer sciences,0.0%,,
2017,umich,22,Law/legal studies,0.0%,,
2017,umich,23,English,2.3%,,
2017,umich,24,Liberal arts/general studies,1.2%,,
2017,umich,25,Library science,0.0%,,
2017,umich,26,Biological/life sciences,9.4%,,
2017,umich,27,Mathematics and statistics,3.2%,,
2017,umich,28 & 29,Military science and military technologies,0.0%,,
2017,umich,30,Interdisciplinary studies,3.3%,,
2017,umich,31,Parks and recreation,3.7%,,
2017,umich,38,Philosophy and religious studies,0.3%,,
2017,umich,39,Theology and religious vocations,0.0%,,
2017,umich,40,Physical sciences,1.7%,,
2017,umich,41,Science technologies,0.0%,,
2017,umich,42,Psychology,9.6%,,
2017,umich,43,"Homeland Security, law enforcement, firefighting, and protective services",0.0%,,
2017,umich,44,Public administration and social services,1.0%,,
2017,umich,45,Social sciences,11.2%,,
2017,umich,46,Construction trades,0.0%,,
2017,umich,47,Mechanic and repair technologies,0.0%,,
2017,umich,48,Precision production,0.0%,,
2017,umich,49,Transportation and materials moving,0.0%,,
2017,umich,50,Visual and performing arts,5.3%,,
2017,umich,51,Health professions and related programs,3.0%,,
2017,umich,52,Business/marketing,7.6%,,
2017,umich,54,History,1.2%,,
2017,umich,,Other,0.0%,,
2017,umich,,TOTAL,100%,,
2017,wsu,1,Agriculture,3%,,1%
2017,wsu,3,Natural resources and conservation,0%,,
2017,wsu,4,Architecture,1%,,
2017,wsu,5,"Area, ethnic, and gender studies",0%,,
2017,wsu,9,Communication/journalism,8%,,
2017,wsu,10,Communication technologies,,,
2017,wsu,11,Computer and information sciences,2%,,0%
2017,wsu,12,Personal and culinary services,,,
2017,wsu,13,Education,3%,,35%
2017,wsu,14,Engineering,11%,,0%
2017,wsu,15,Engineering technologies,,,7%
2017,wsu,16,"Foreign languages, literatures, and linguistics",1%,,
2017,wsu,19,Family and consumer sciences,5%,,25%
2017,wsu,22,Law/legal studies,,,
2017,wsu,23,English,1%,,5%
2017,wsu,24,Liberal arts/general studies,2%,,0%
2017,wsu,25,Library science,,,
2017,wsu,26,Biological/life sciences,6%,,1%
2017,wsu,27,Mathematics and statistics,1%,,
2017,wsu,28 & 29,Military science and military technologies,,,
2017,wsu,30,Interdisciplinary studies,1%,,3%
2017,wsu,31,Parks and recreation,3%,,
2017,wsu,38,Philosophy and religious studies,0%,,
2017,wsu,39,Theology and religious vocations,,,
2017,wsu,40,Physical sciences,2%,,
2017,wsu,41,Science technologies,,,
2017,wsu,42,Psychology,7%,,
2017,wsu,43,"Homeland Security, law enforcement, firefighting, and
protective services",3%,,0%
2017,wsu,44,Public administration and social services,0%,,
2017,wsu,45,Social sciences,10%,,
2017,wsu,46,Construction trades,,,
2017,wsu,47,Mechanic and repair technologies,,,
2017,wsu,48,Precision production,,,
2017,wsu,49,Transportation and materials moving,,,
2017,wsu,50,Visual and performing arts,1%,,
2017,wsu,51,Health professions and related programs,7%,,2%
2017,wsu,52,Business/marketing,21%,,18%
2017,wsu,54,History,1%,,
2017,wsu,,Other,,,
2017,wsu,,TOTAL (should = 100%),100%,0.00%,100%
2018,asu,1,Agriculture,0.58%,,
2018,asu,3,Natural resources and conservation,2.37%,,
2018,asu,4,Architecture,0.12%,,
2018,asu,5,"Area, ethnic, and gender studies",0.19%,,
2018,asu,9,Communication/journalism,7.79%,,
2018,asu,10,Communication technologies,0.00%,,
2018,asu,11,Computer and information sciences,1.53%,,
2018,asu,12,Personal and culinary services,0.00%,,
2018,asu,13,Education,9.17%,,
2018,asu,14,Engineering,0.00%,,
2018,asu,15,Engineering technologies,0.94%,,
2018,asu,16,"Foreign languages, literatures, and linguistics",0.92%,,
2018,asu,19,Family and consumer sciences,1.48%,,
2018,asu,22,Law/legal studies,0.00%,,
2018,asu,23,English,1.98%,,
2018,asu,24,Liberal arts/general studies,0.56%,,
2018,asu,25,Library science,0.00%,,
2018,asu,26,Biological/life sciences,4.02%,,
2018,asu,27,Mathematics and statistics,0.70%,,
2018,asu,28 & 29,Military science and military technologies,0.00%,,
2018,asu,30,Interdisciplinary studies,0.70%,,
2018,asu,31,Parks and recreation,7.26%,,
2018,asu,38,Philosophy and religious studies,0.53%,,
2018,asu,39,Theology and religious vocations,0.00%,,
2018,asu,40,Physical sciences,1.98%,,
2018,asu,41,Science technologies,0.00%,,
2018,asu,42,Psychology,5.62%,,
2018,asu,43,"Homeland Security, law enforcement, firefighting, and
protective services",3.34%,,
2018,asu,44,Public administration and social services,2.03%,,
2018,asu,45,Social sciences,6.85%,,
2018,asu,46,Construction trades,0.00%,,
2018,asu,47,Mechanic and repair technologies,0.00%,,
2018,asu,48,Precision production,0.00%,,
2018,asu,49,Transportation and materials moving,0.00%,,
2018,asu,50,Visual and performing arts,6.08%,,
2018,asu,51,Health professions and related programs,11.64%,,
2018,asu,52,Business/marketing,20.60%,,
2018,asu,54,History,0.99%,,
2018,asu,,Other,,,
2018,asu,,TOTAL (should = 100%),100.00%,0.00%,0.00%
2018,caltech,1,Agriculture,,,
2018,caltech,3,Natural resources and conservation,,,
2018,caltech,4,Architecture,,,
